Lens Label  Survey          RA       Dec  obj_id                  SIMBAD                          NED
33   Query  hsc      350.94196  -0.51053  41619422804208581       SIMBAD: DES J232346.05-003038.0 [Le?]  |  NED: —
33   NN#1   legacy   350.94196  -0.51053  b'3508m005-7430'        SIMBAD: DES J232346.05-003038.0 [Le?]  |  NED: —
33   NN#2   hsc      352.54037  -0.69286  41623679116805771       SIMBAD: —  |  NED: —
33   NN#3   hsc      350.97745  -0.14037  41619431394145978       SIMBAD: —  |  NED: WISEA J232354.56-000824.9 [G]
33   NN#6   hsc      350.99130  -0.19654  41619431394141553       SIMBAD: SDSS J232357.92-001147.3 [G]  |  NED: —
33   NN#7   hsc      149.75621   1.74506  43158996781141851       SIMBAD: COSMOS2015 303570 [G]; COSMOS2015 300546 [G]  |  NED: —
33   NN#8   hsc       34.20299  -4.53913  37485134529711217       SIMBAD: —  |  NED: WISEA J021648.72-043221.0 [VisS] z=0.492794; GALEXMSC J021648.98-043221.4 [UvS]
48   Query  hsc      352.95605   0.58640  42692125246129290       SIMBAD: —  |  NED: —
48   NN#1   legacy   352.95605   0.58640  b'3528p005-10026'       SIMBAD: —  |  NED: WISEA J233149.44+003511.0 [G] z=0.622003
48   NN#3   hsc      352.28754   0.62456  42692675001945884       SIMBAD: —  |  NED: WISEA J232908.99+003728.7 [G]
48   NN#4   hsc       36.00570  -5.77221  37489227633550294       SIMBAD: —  |  NED: —
48   NN#5   hsc      351.30075   0.59720  42687864638564440       SIMBAD: —  |  NED: —
48   NN#6   hsc       36.67763  -4.21344  38558640130523161       SIMBAD: VIDEO J022642.63-041248.25 [G]  |  NED: —
48   NN#8   hsc       35.04363  -4.71547  37490078037069717       SIMBAD: VIPERS 115190503 [G]  |  NED: GALEXMSC J022010.44-044252.3 [UvS]; WISEA J022010.46-044255.7 [VisS] z=0.62181
